DATE,ITEM,NAME,SPEC,AC_CODE,WC_CODE,LOC,VD_CODE,VD_NAME,UP,CUR,ORDER_BAL,UNIT,BEGIN_QTY,RECEIVE_QTY,ISSUE_QTY,STOCK_QTY,LAST_ISSUED_DATE,LAST_STOCK_IN_DATE,STOCK_AGE,GROUP_AGE
2025-01-01,SKU-0031,STEEL BAR,STE-0031,4520AA,TN29,3,NIP262,Nippon Precision Bar,0.0,BT,10861,KGS,0,0,0,0,2026-08-05,2026-08-28,0,0-3 months
2025-01-01,SKU-0032,STEEL BAR,STE-0032,4520AA,TN29,3,NIP262,Nippon Precision Bar,0.0,BT,0,KGS,0,0,0,0,2026-06-06,2026-06-05,2,0-3 months
2025-01-01,SKU-0033,STEEL BAR,STE-0033,4520AA,TN19,3,NIP262,Nippon Precision Bar,958.0412621,BT,0,KGS,0,54,54,0,2026-08-05,2025-01-21,19,12-24 months
2025-01-01,SKU-0034,STEEL BAR,STE-0036,4520AA,TN29,3,NIP262,Nippon Precision Bar,88.18545191,BT,0,KGS,3125,13424,13616,2933,2025-05-05,2025-05-05,16,12-24 months
2025-01-01,SKU-0035,STEEL BAR,STE-0035,4520AA,TN29,3,NIP262,Nippon Precision Bar,0.0,BT,36918,KGS,0,0,0,0,2026-08-05,2026-08-31,0,0-3 months
2025-01-01,SKU-0036,STEEL BAR,STE-0036,4520AA,TN29,3,NIP262,Nippon Precision Bar,0.0,BT,0,KGS,0,0,0,0,2026-05-20,2026-04-29,4,3-6 months
2025-01-01,SKU-0037,STEEL BAR,STE-0039,4520AA,TN29,3,NIP262,Nippon Precision Bar,88.53644943,BT,0,KGS,352,3211,2282,1281,2025-04-03,2025-07-21,13,12-24 months
2025-01-01,SKU-0038,STEEL BAR,STE-0036,4520AA,TN29,3,NIP262,Nippon Precision Bar,0.0,BT,10724,KGS,0,0,0,0,2026-08-05,2026-08-28,0,0-3 months
2025-01-01,SKU-0039,STEEL BAR,STE-0039,4520AA,TN29,3,NIP262,Nippon Precision Bar,0.0,BT,0,KGS,0,0,0,0,2026-05-20,2026-05-06,3,0-3 months
2025-01-01,SKU-0040,STEEL BAR,STE-0040,4520AA,TN29,3,NIP262,Nippon Precision Bar,0.0,BT,0,KGS,0,0,0,0,2026-08-05,2025-07-09,14,12-24 months
2025-01-01,SKU-0041,STEEL BAR,STE-0041,4520AA,TN19,3,NIP262,Nippon Precision Bar,0.0,BT,0,KGS,0,0,0,0,2026-03-28,2025-04-25,16,12-24 months
2025-01-01,SKU-0042,STEEL BAR,STE-0042,4520AA,TN29,3,NIP262,Nippon Precision Bar,283.877,BT,0,KGS,132,0,0,132,2025-09-26,2024-04-09,29,24+ months
2025-01-01,SKU-0043,STEEL COIL,STE-0043,4520AH,CF19,3,NIP262,Nippon Precision Bar,0.0,BT,100000,KGS,0,0,0,0,2021-04-20,2026-04-06,4,3-6 months
2025-01-01,SKU-0044,STEEL COIL,STE-0044,4520AH,CF19,3,NIP262,Nippon Precision Bar,92.13443925,BT,198837,KGS,20230,117888,118628,19491,2026-08-05,2026-08-31,0,0-3 months
2025-01-01,SKU-0045,STEEL COIL,STE-0045,4520AH,CF19,3,NIP262,Nippon Precision Bar,0.0,BT,137755,KGS,0,0,0,0,2021-04-09,2026-04-08,4,3-6 months
2025-01-01,SKU-0046,STEEL COIL,STE-0046,4520AH,CF19,3,NIP262,Nippon Precision Bar,92.11474486,BT,144159,KGS,20808,120288,120008,21087,2026-08-05,2026-08-31,0,0-3 months
2025-01-01,SKU-0047,STEEL COIL,STE-0047,4520AH,CF19,3,NIP262,Nippon Precision Bar,0.0,BT,615400,KGS,0,0,0,0,2026-03-29,2026-05-14,3,0-3 months
