YEAR4,MONTH2,PART_NO,PROCESS,OK_QTY,NG_QTY,TYPE,PROCNAME,SERI,SIZE,AC_PROCESS
2026,5,2SFL-1680X2HHTP93(SRW),1120,187866,14742,2,S/F PROD.,2L-1680,SMALL,1120
2026,4,2SFR-4X3HHMTTP93(S),1120,105392,14742,2,S/F PROD.,2R-4X3,SMALL,1120
2026,1,1SFLNR-1680XHHS2TP93,1120,201723,14828,1,S/F PROD.,1L-1680,SMALL,1120
2026,2,2SF-6000X2ZZ-NTP93(D)SPC,1120,608082,14886,2,S/F PROD.,¡.¾.-00,MIDDLE,1120
2026,7,2SFL-1680XHHMT(W)(T),1120,38556,14952,2,S/F PROD.,2L-1680,SMALL,1120
2026,4,1SFR-1350X3ZZTP93,210,6612300,14990,1,ROUGH SIDE LAP GRINDING1,1R-1350,SMALL,Unknown
2026,2,1SF-626ZZTP93,260,8196284,14996,1,ROUGH GRINDING,1-626,SMALL,260
2026,7,2SFR-1980X9HHCV-N(SPC)(T),1120,427490,15015,2,S/F PROD.,2R-1980,SMALL,1120
2026,5,1SFR-1980HHSTP93,230,4213100,15061,1,ROUGH SIDE LAP B,1R-1980,SMALL,Unknown
2026,5,2R-1340X5MT-NTP93(SPC)(S),1120,141120,15072,2,S/F PROD.,2R-1340,SMALL,1120
2026,5,1SFR-1650X9HHMTS2TP93,1120,685365,15106,1,S/F PROD.,1R-1650,SMALL,1120
2026,3,1SFR-1650X9HHS2TP93,260,4300440,15109,1,ROUGH GRINDING,1R-1650,SMALL,260
2026,2,2SFR-1980HHMTTP93(T),1120,829794,15120,2,S/F PROD.,2R-1980,SMALL,1120
2026,3,2SFR-2210X6HH-NTP93(SPC),1120,523460,15120,2,S/F PROD.,2R-2210,SMALL,1120
2026,1,2SFR-1340X5ZZMT-NTP93(S),112M,1106520,15139,2,SUPER FINISH,2R-1340,SMALL,1120
2026,6,1SFL-1680XHHMTS2TP93(SPC),1120,547224,15158,1,S/F PROD.,1L-1680,SMALL,1120
2026,4,1HCR-2210X3HHMT,1120,404378,15202,1,S/F PROD.,1R-2210,SMALL,1120
2026,5,1SF-626ZZTP93,260,7440932,15275,1,ROUGH GRINDING,1-626,SMALL,260
2026,2,2R-1340B87SD747AT-NTP93-S,1120,10206,15288,2,S/F PROD.,2R-1340,SMALL,1120
2026,2,2SFR-1340X5ZZMT-NTP93(S),1120,507696,15288,2,S/F PROD.,2R-1340,SMALL,1120
2026,4,1SFR-1350X3ZZTP93,230,6507000,15316,1,ROUGH SIDE LAP B,1R-1350,SMALL,Unknown
2026,7,2SFR-1350X3ZZB56AT(S),1120,160696,15317,2,S/F PROD.,2R-1350,SMALL,1120
2026,7,1SFRNR-1560X2ZZMTSTP93,1120,463572,15325,1,S/F PROD.,1R-1560,SMALL,1120
2026,4,2-608X11SD101H05TP93-BSPC,1120,74520,15330,2,S/F PROD.,2-608,SMALL,1120
2026,7,1SF-626ZZATTP93,1120,518332,15351,1,S/F PROD.,1-626,SMALL,1120
